v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_total_hard_constraint_violation,v_net_single_step_constraint_offset,v_net_constraint_offsets,v_net_constraint_violations,v_net_single_step_violation_list,v_net_single_step_hard_constraint_offset,v_net_max_single_step_hard_constraint_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,num_interactions,v_net_reward,num_placed_nodes,num_routed_links
26,0,0,0,0,0,0,0,0,0,34,0,622.3294267995389,1059059,38037,1021022,0.0,0.0,16,234.3294267995389,388.0,5,8,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0
27,0,0,0,0,0,0,0,0,0,35,1,626.0,1059059,38037,1021022,0.0,0.0,26,1181.5053949652838,626.0,4,3,False,{},{},{},{},0,0,84.0,42.0,61,0,0,0.0,0.0,0,0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0,0
27,0,0,0,0,0,0,0,0,0,36,0,637.1912942655208,1059059,38037,1021022,0.0,0.0,13,319.1912942655208,318.0,5,6,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0
28,1,1,43.0,43.0,10328.051836042974,10328.051836042974,1.0,1.0,2,37,1,642.0,1059016.0,38022,1020994.0,0.00039435286694533556,2.7423503117463e-05,27,240.1872520009994,642.0,2,1,True,"{1: 1, 0: 12}","{(0, 1): [(12, 1)]}","{(1, 1): {'cpu': 11}, (0, 12): {'cpu': 4}}","{((0, 1), (12, 1)): {'bw': 28.0}}",43.0,43.0,30.0,15.0,28,15.0,28,15.0,28.0,0.0,1.0,10328.051836042974,10328.051836042974,240.1872520009994,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,2,1
29,1,1,43.0,43.0,10328.051836042974,10328.051836042974,1.0,1.0,2,38,1,671.0,1059016.0,38022,1020994.0,0.00039435286694533556,2.7423503117463e-05,28,939.2284484660762,671.0,6,9,False,{},{},{},{},0,0,94.0,47.0,165,0,0,0.0,0.0,0,0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0,0
30,1,1,43.0,43.0,10328.051836042974,10328.051836042974,1.0,1.0,2,39,1,698.0,1059016.0,38022,1020994.0,0.00039435286694533556,2.7423503117463e-05,29,384.1120143369321,698.0,4,4,False,{},{},{},{},0,0,92.0,46.0,172,0,0,0.0,0.0,0,0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0,0
30,1,1,43.0,43.0,10328.051836042974,10328.051836042974,1.0,1.0,2,40,0,716.3731035685653,1059016.0,38022,1020994.0,0.00039435286694533556,2.7423503117463e-05,12,416.3731035685653,300.0,9,14,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0
31,1,1,43.0,43.0,10328.051836042974,10328.051836042974,1.0,1.0,2,41,1,727.0,1059016.0,38022,1020994.0,0.00039435286694533556,2.7423503117463e-05,30,459.12456690610685,727.0,6,10,False,{},{},{},{},0,0,120.0,60.0,218,0,0,0.0,0.0,0,0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0,0
31,1,1,43.0,43.0,10328.051836042974,10328.051836042974,1.0,1.0,2,42,0,749.357750111638,1059016.0,38022,1020994.0,0.00039435286694533556,2.7423503117463e-05,8,535.357750111638,214.0,7,10,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0
31,1,1,43.0,43.0,10328.051836042974,10328.051836042974,1.0,1.0,2,43,0,757.5045146346265,1059016.0,38022,1020994.0,0.00039435286694533556,2.7423503117463e-05,19,302.50451463462645,455.0,3,3,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0
