vnr_uid,best_algorithm,v_net_id,seed,result,v_net_num_nodes,v_net_num_edges,v_net_lifetime,v_net_demand,v_net_node_demand,v_net_link_demand,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,event_time,v_net_arrival_time,inservice_count,num_algorithms_tested,algorithms_tested
124_2_3021.0,mip,124,2,False,5,4,14.79129995382185,128.0,64.0,101.0,15666.0,1286,14380.0,0.0,0.0,3021.0,3021.0,0,25,"d_round,ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
124_3_1558.0,mcts,124,3,False,14,48,11.646071346733224,514.0,257.0,1916.0,10503.0,1172,9331.0,0.0,0.0,1558.0,1558.0,0,7,"ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
124_3_3171.0,mcts,124,3,False,20,87,837.1712589613393,1044.0,522.0,5314.0,10503.0,1172,9331.0,0.0,0.0,3171.0,3171.0,0,7,"ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
124_3_3177.0,pl_rank,124,3,False,9,20,2028.1630351149151,128.0,64.0,484.0,15828.0,1173,14655.0,0.0,0.0,3177.0,3177.0,0,24,"d_round,ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
124_4_1552.0,mcts,124,4,False,8,15,453.7934563751934,412.0,206.0,623.0,10885.0,1170,9715.0,0.0,0.0,1552.0,1552.0,0,7,"ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
124_4_3068.0,mcts,124,4,False,8,13,1369.7423614850395,494.0,247.0,748.0,10885.0,1170,9715.0,0.0,0.0,3068.0,3068.0,0,7,"ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
124_4_3136.0,ga_meta,124,4,False,2,1,108.52554693939366,30.0,15.0,15.0,15894.0,1247,14647.0,0.0150078988941547,0.001431688028361,3136.0,3136.0,1,24,"d_round,ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
125_0_1539.0,mcts,125,0,False,8,17,165.45494164348642,226.0,113.0,565.0,10495.0,1133,9362.0,0.0,0.0,1539.0,1539.0,0,8,"ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
125_0_2091.0,mip,125,0,False,15,66,2442.54771435336,1264.0,632.0,6163.0,10495.0,1133,9362.0,0.0,0.0,2091.0,2091.0,0,2,mip
125_0_3075.0,mcts,125,0,False,5,6,51.48418095579485,82.0,41.0,175.0,5021.0,716,4305.0,0.0027855153203342,0.0096618357487923,3075.0,3075.0,1,25,"d_round,ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
125_0_3128.0,mcts,125,0,False,18,73,156.4757666485311,824.0,412.0,4217.0,10495.0,1133,9362.0,0.0,0.0,3128.0,3128.0,0,8,"ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
125_1_1549.0,ga_meta,125,1,False,7,10,555.5278804517299,282.0,141.0,360.0,9881.0,1235,8646.0,0.0,0.0,1549.0,1549.0,0,8,"ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
125_1_3129.0,mcts,125,1,True,2,1,741.0732830041238,14.0,7.0,38.0,5143.0,757,4386.0,0.0091623036649214,0.0085895117540687,3129.0,3129.0,1,25,"d_round,ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
125_1_3178.0,mcts,125,1,False,17,69,212.2781308603952,942.0,471.0,4298.0,9881.0,1235,8646.0,0.0,0.0,3178.0,3178.0,0,8,"ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
125_2_1573.0,mcts,125,2,False,13,32,89.16831489952212,462.0,231.0,1174.0,10585.0,1285,9300.0,0.0,0.0,1573.0,1573.0,0,8,"ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
125_2_3047.0,mcts,125,2,False,9,17,1436.8941874817049,480.0,240.0,1090.0,10585.0,1285,9300.0,0.0,0.0,3047.0,3047.0,0,8,"ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
125_2_3054.0,mip,125,2,False,3,2,233.3189570218752,24.0,12.0,96.0,15666.0,1286,14380.0,0.0,0.0,3054.0,3054.0,0,25,"d_round,ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
125_3_1575.0,mip,125,3,False,6,5,103.4819438613772,220.0,110.0,223.0,10503.0,1172,9331.0,0.0,0.0,1575.0,1575.0,0,7,"ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
125_3_3194.0,mcts,125,3,False,20,96,945.7036712866864,1058.0,529.0,5825.0,10503.0,1172,9331.0,0.0,0.0,3194.0,3194.0,0,7,"ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
125_3_3210.0,mip,125,3,False,6,6,43.9134989826473,122.0,61.0,144.0,15828.0,1173,14655.0,0.0,0.0,3210.0,3210.0,0,24,"d_round,ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
125_4_1568.0,mcts,125,4,False,6,9,844.1496247042616,250.0,125.0,410.0,10885.0,1170,9715.0,0.0,0.0,1568.0,1568.0,0,7,"ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
125_4_3097.0,mcts,125,4,False,18,78,3029.673777514287,896.0,448.0,4638.0,10885.0,1170,9715.0,0.0,0.0,3097.0,3097.0,0,7,"ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
