vnr_uid,best_algorithm,v_net_id,seed,event_time,result,v_net_num_nodes,v_net_num_egdes,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_lifetime,v_net_arrival_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,inservice_count,num_algorithms_tested
147_4_3716,sa_meta,147,4,3716.0,False,6,8,102.0,51.0,209.0,265.4430246170026,3716.0,15934.0,1266,14668.0,0.0,0.0,0,8
148_0_3643,pl_rank,148,0,3643.0,False,3,2,34.0,17.0,63.0,649.2228157080609,3643.0,5021.0,716,4305.0,0.0027855153203342,0.0096618357487923,1,8
148_1_3709,pl_rank,148,1,3709.0,False,3,2,66.0,33.0,57.0,559.1228072039964,3709.0,5143.0,757,4386.0,0.0091623036649214,0.0085895117540687,1,8
148_2_3637,mcts,148,2,3637.0,False,7,9,184.0,92.0,164.0,221.2084199109948,3637.0,15666.0,1286,14380.0,0.0,0.0,0,8
148_3_3771,ga_meta,148,3,3771.0,False,6,11,174.0,87.0,279.0,682.4845783045753,3771.0,15828.0,1173,14655.0,0.0,0.0,0,8
148_4_3735,rw_rank_bfs,148,4,3735.0,False,10,24,142.0,71.0,443.0,2324.5085243038257,3735.0,15934.0,1266,14668.0,0.0,0.0,0,8
149_0_3671,rw_rank_bfs,149,0,3671.0,False,10,24,190.0,95.0,471.0,157.5800155060661,3671.0,5021.0,716,4305.0,0.0027855153203342,0.0096618357487923,1,8
149_1_3734,rw_rank_bfs,149,1,3734.0,False,10,18,202.0,101.0,417.0,28.528263208947568,3734.0,5143.0,757,4386.0,0.0091623036649214,0.0085895117540687,1,8
149_2_3670,rw_rank_bfs,149,2,3670.0,False,7,10,198.0,99.0,231.0,4.747656134552694,3670.0,15666.0,1286,14380.0,0.0,0.0,0,8
149_3_3795,rw_rank_bfs,149,3,3795.0,False,9,16,436.0,218.0,1003.0,120.41108028964884,3795.0,10503.0,1172,9331.0,0.0,0.0,0,8
149_4_3759,ga_meta,149,4,3759.0,False,5,6,70.0,35.0,145.0,73.97620810331965,3759.0,15934.0,1266,14668.0,0.0,0.0,0,8
14_0_391,pl_rank,14,0,391.0,False,8,14,144.0,72.0,260.0,475.9148582134435,391.0,5065.0,718,4347.0,0.0,0.0,0,8
14_1_401,mcts,14,1,401.0,False,6,7,118.0,59.0,120.0,50.0802576955217,401.0,5188.0,764,4424.0,0.0,0.0,0,8
14_2_342,rw_rank_bfs,14,2,342.0,False,8,14,172.0,86.0,425.0,1410.4736355378006,342.0,15581.0,1283,14298.0,0.0023328149300155,0.005702364394993,1,8
14_3_390,pl_rank,14,3,390.0,False,3,3,56.0,28.0,50.0,363.6461387140493,390.0,15828.0,1173,14655.0,0.0,0.0,0,8
14_4_381,ga_meta,14,4,381.0,False,6,6,124.0,62.0,220.0,46.11826399413245,381.0,15934.0,1266,14668.0,0.0,0.0,0,8
150_0_3696,pl_rank,150,0,3696.0,False,2,1,16.0,8.0,3.0,70.48394421033674,3696.0,5021.0,716,4305.0,0.0027855153203342,0.0096618357487923,1,8
150_1_3763,rw_rank_bfs,150,1,3763.0,False,9,20,186.0,93.0,507.0,85.73806744048115,3763.0,5143.0,757,4386.0,0.0091623036649214,0.0085895117540687,1,8
150_2_3692,pl_rank,150,2,3692.0,False,4,3,86.0,43.0,34.0,146.21216106535908,3692.0,15666.0,1286,14380.0,0.0,0.0,0,8
150_3_3820,rw_rank_bfs,150,3,3820.0,False,10,27,172.0,86.0,607.0,488.8505231744937,3820.0,15828.0,1173,14655.0,0.0,0.0,0,8
150_4_3789,pl_rank,150,4,3789.0,False,2,1,48.0,24.0,5.0,85.44960205349047,3789.0,15934.0,1266,14668.0,0.0,0.0,0,8
151_0_3715,rw_rank_bfs,151,0,3715.0,False,6,9,120.0,60.0,238.0,28.483268112510835,3715.0,5021.0,716,4305.0,0.0027855153203342,0.0096618357487923,1,8
