v_net_num_nodes,v_net_num_edges,v_net_lifetime,v_net_demand,v_net_node_demand,v_net_link_demand,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,inservice_count,num_running_p_net_nodes,v_net_time_cost,v_net_time_revenue,p_net_num_nodes,v_net_size_ratio,v_net_demand_per_node,v_net_demand_per_link,v_net_connectivity,v_net_total_demand,v_net_node_to_link_demand_ratio,p_net_overall_util,p_net_node_util,p_net_link_util,system_load,topology_encoded,best_for_rac,best_for_lrc,best_for_lar,best_for_ast,best_for_balanced,num_algos_accepted,network_stress_index,problem_complexity,resource_bottleneck_ratio,vnr_size_category,cpu_intensive_flag,bandwidth_intensive_flag,utilization_pressure,resource_efficiency,p_net_node_link_resource_ratio,p_net_util_imbalance,p_net_resource_heterogeneity,p_net_fragmentation_estimate,p_net_uneven_utilization,p_net_health_score,vnr_demand_intensity,vnr_density_adjusted,vnr_node_link_demand_ratio,vnr_structural_complexity
7,13,170.11860575843852,1464.0,732.0,2838.0,9202.0,4586,4616.0,0.0,0.0,0,0,0.0,0.0,31,0.2258064516129032,104.57142857142856,218.3076922908994,0.6190476190181405,3570.0,0.2579281183931438,0.1200153007554748,0.0,0.0,0.0,0,pl_rank,pl_rank,pl_rank,rw_rank_bfs,pl_rank,1,0.0,2209.999999894762,0.4790093605729461,1,0,1,0.0,2.5775910356925515,0.0,0.0,0.9935008663358966,0.0,0.0,92.02,38.80434782608695,1.2923497142564688,0.2579281183023509,0.8210790365417859
6,5,566.9734909058881,1130.0,565.0,1350.0,17304.0,2649,14655.0,0.0,0.0,0,0,0.0,0.0,20,0.3,94.16666666666669,269.999999946,0.3333333333111111,1915.0,0.4185185185182085,-0.6547767045997896,0.0,0.0,0.0,1,mcts,sa_meta,mcts,pl_rank,rw_rank_bfs,4,0.0,638.3333332907778,0.3487654308767947,1,0,1,0.0,9.036031326874134,0.0,0.0,0.18075742066320316,0.0,-0.0,173.04,61.774193548387096,0.9557522019849322,0.4185185182085048,0.884758575713399
2,1,429.8484767401351,60.0,30.0,8.0,8458.0,4784,3674.0,0.0184653262207632,0.2064794816414686,4,20,30089.393371809456,16334.242116125131,16,0.125,15.0,7.999999991999999,0.999999999,38.0,3.74999999953125,0.191163813713302,0.0184653262207632,0.2064794816414686,0.1428571428520408,2,d_round,ga_meta,mcts,pl_rank,mcts,4,0.1124724039311158,37.999999962,1.8749997675000292,0,1,0,0.0038127109864038,222.5789415110805,0.0894289187722173,0.1880141554207054,1.3021230263195094,0.15207265243839785,0.035941502982307534,68.67776273451673,12.666666666666666,0.5333332967111135,3.749999531250059,22.74658672267305
6,6,172.8369644851894,1160.0,580.0,1505.0,17304.0,2649,14655.0,0.0,0.0,0,0,0.0,0.0,20,0.3,96.66666666666669,250.83333329152777,0.3999999999733333,2085.0,0.3853820598004084,-0.6547767045997896,0.0,0.0,0.0,1,mcts,sa_meta,mip,pl_rank,mip,5,0.0,833.9999999444001,0.385382058328488,1,0,1,0.0,8.299280571559098,0.0,0.0,0.18075742066320316,0.0,-0.0,173.04,56.351351351351354,1.037931023503357,0.3853820595445966,0.7951384363759619
7,9,424.8870652977719,902.0,451.0,955.0,8909.0,4490,4419.0,0.0,0.0,0,0,0.0,0.0,16,0.4375,64.42857142857143,106.111111099321,0.4285714285510204,1406.0,0.4722513089000291,0.1480348092187051,0.0,0.0,0.0,2,mcts,pl_rank,mcts,pl_rank,pl_rank,2,0.0,602.5714285427347,0.60718024864602,1,0,1,0.0,6.336415358224455,0.0,0.0,1.0160669832504938,0.0,0.0,89.09,21.96875,0.7058388655031755,0.4722513084060196,1.2253250113049778
6,6,159.48055134355334,1331.0,121.0,212.0,8436.0,1130,7306.0,0.6004243281471005,0.5019089173711481,16,36,77029.10629893627,53107.02359740326,20,0.3,20.166666666666668,35.33333332744444,0.3999999999733333,333.0,0.5707547169784398,0.1932676675910872,0.6004243281471005,0.5019089173711481,0.5714285714081633,1,ga_meta,mip,ga_meta,rw_rank_bfs,ga_meta,3,0.5511666227591243,133.19999999112,0.570754700922823,1,0,1,0.3013583245036101,25.33333325725726,1.1962790679489677,0.09851541077595238,0.1546673966391093,0.07947556711350622,0.019039843662446175,76.04923994694066,9.0,0.7008264113657425,0.5707547142888929,1.1593564224371982
10,20,46.93727423938378,236.0,118.0,516.0,4060.0,833,3227.0,0.2818965517241379,0.3772674642994983,8,16,0.0,0.0,16,0.625,11.8,25.79999999871,0.4444444444345679,634.0,0.2286821705421924,0.6117433298269102,0.2818965517241379,0.3772674642994983,0.2857142857040816,2,mcts,mcts,sa_meta,rw_rank_bfs,sa_meta,2,0.3295820080118181,281.77777777151607,0.4573643233808402,2,0,1,0.1063503972637378,6.403785478858382,0.7472041222622614,0.0953709125753604,0.2581344901586196,0.03702839294787829,0.05834251962748211,36.727940949440374,3.154228855721393,0.9717513300073888,0.22868217009945316,0.3933224957848929
4,3,347.7915241262213,270.0,45.0,69.0,8628.0,4682,3946.0,0.0393926959376282,0.1477321814254859,7,51,90773.58779694376,39648.23375038923,31,0.1290322580645161,11.25,22.999999992333333,0.4999999999166666,114.0,0.6521739130340264,0.1749067610213254,0.0393926959376282,0.1477321814254859,0.2499999999910714,0,ga_meta,pl_rank,ga_meta,pl_rank,pl_rank,2,0.093562438681557,56.9999999905,0.4891304136791124,0,0,1,0.0058195689030966,75.68420986241921,0.26664758422939133,0.10833948548785768,1.186517992603518,0.0893901769904596,0.018949308497398076,76.93246919210765,8.76923076923077,1.0222221308469217,0.6521739035916826,1.909067736059392
4,4,105.0870585101534,1050.0,105.0,215.0,6330.0,910,5420.0,0.6782178217821782,0.6304881374420508,20,36,88693.47738256949,33627.85872324909,20,0.2,26.25,53.7499999865625,0.6666666665555555,320.0,0.4883720930209843,0.3946638615281629,0.6782178217821782,0.6304881374420508,0.714285714260204,1,ga_meta,sa_meta,ga_meta,rw_rank_bfs,ga_meta,2,0.6543529796121145,213.33333329777776,0.4883720840593566,0,0,1,0.4276082912354502,19.781249938183596,1.075701041470384,0.047729684340127365,0.16789667893581242,0.028892502808932415,0.01883718153119495,60.27871098126994,18.823529411764707,1.3650793125075604,0.48837209075175775,1.5185962995568998
8,14,407.50758511735296,1554.0,777.0,3924.0,17304.0,2649,14655.0,0.0,0.0,0,0,0.0,0.0,20,0.4,97.125,280.28571426569385,0.4999999999821428,4701.0,0.1980122324158516,-0.6547767045997896,0.0,0.0,0.0,1,rw_rank_bfs,sa_meta,rw_rank_bfs,pl_rank,rw_rank_bfs,2,0.0,2350.4999999160536,0.3465214055162654,2,0,1,0.0,3.680918952631159,0.0,0.0,0.18075742066320316,0.0,-0.0,173.04,41.60176991150443,1.4429122850443195,0.19801223236544033,0.5952753114953002
