topology,seed,v_net_id,v_net_num_nodes,v_net_num_edges,v_net_lifetime,v_net_arrival_time,v_net_demand,v_net_node_demand,v_net_link_demand,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,inservice_count,num_running_p_net_nodes,solving_time,p_net_num_nodes,v_net_size_ratio,v_net_demand_per_node,v_net_demand_per_link,v_net_connectivity,v_net_total_demand,v_net_node_to_link_demand_ratio,p_net_overall_util,p_net_node_util,p_net_link_util,system_load,topology_encoded,best_for_acceptance,best_for_time,best_overall,num_algos_accepted,num_algos_rejected
tree,0,233,5,6,114.01914629021704,11772.0,86.0,43.0,72.0,7931.0,4280,3651.0,0.0467706013363028,0.1737949762389681,10,63,0.0022804880620643,31,0.1612903225806451,8.6,11.999999998,0.59999999994,115.0,0.5972222222139274,0.2415606770584297,0.0467706013363028,0.1737949762389681,0.4347826086767485,0,rw_rank_bfs,rw_rank_bfs,rw_rank_bfs,27,145
tree,0,130,3,3,1060.124637165195,6651.0,240.0,20.0,68.0,8476.0,4347,4129.0,0.03184855233853,0.0656257071735686,7,61,0.0094396060075217,31,0.0967741935483871,6.666666666666667,22.66666665911111,0.9999999996666666,88.0,0.2941176470544983,0.1894424787223869,0.03184855233853,0.0656257071735686,0.304347826073724,0,rw_rank_bfs,rw_rank_bfs,pl_rank,29,148
fat_tree,0,100,8,10,675.1034514207436,1021.0,1922.0,961.0,2416.0,17304.0,2649,14655.0,0.0,0.0,0,0,13.56247525215149,20,0.4,120.125,241.59999997584,0.357142857130102,3377.0,0.397764900662087,-0.6547767045997896,0.0,0.0,0.0,1,rw_rank_bfs,rw_rank_bfs,mip,64,136
fat_tree,0,226,7,16,981.0341511296018,2274.0,1380.0,690.0,3906.0,17304.0,2649,14655.0,0.0,0.0,0,0,0.0022804880620643,20,0.35,98.57142857142856,244.12499998474215,0.7619047618684808,4596.0,0.1766513056835185,-0.6547767045997896,0.0,0.0,0.0,1,rw_rank_bfs,rw_rank_bfs,rw_rank_bfs,58,131
tree,0,148,2,1,2031.9206874082113,7554.0,45.0,15.0,0.0,7973.0,4230,3743.0,0.0579064587973273,0.1529757863770083,10,63,0.0022804880620643,31,0.064516129032258,7.5,0.0,0.999999999,15.0,15000000000.0,0.2375442287462943,0.0579064587973273,0.1529757863770083,0.4347826086767485,0,rw_rank_bfs,rw_rank_bfs,rw_rank_bfs,25,150
tree,0,247,5,5,692.8638822853046,12414.0,525.0,35.0,61.0,7606.0,4248,3358.0,0.0538975501113585,0.2400995700384702,10,63,0.0022804880620643,31,0.1612903225806451,7.0,12.19999999756,0.49999999995,96.0,0.5737704917938726,0.2726403366166204,0.0538975501113585,0.2400995700384702,0.4347826086767485,0,rw_rank_bfs,rw_rank_bfs,rw_rank_bfs,26,146
tree,0,271,3,2,40.81488728721125,13620.0,56.0,28.0,30.0,7947.0,4274,3673.0,0.0481069042316257,0.168816474315456,6,63,0.0094396060075217,31,0.0967741935483871,9.333333333333334,14.9999999925,0.6666666664444444,58.0,0.9333333333022222,0.2400306015109495,0.0481069042316257,0.168816474315456,0.2608695652060491,0,rw_rank_bfs,rw_rank_bfs,pl_rank,23,149
fat_tree,0,213,8,17,1343.105266177096,2132.0,1688.0,844.0,4197.0,17304.0,2649,14655.0,0.0,0.0,0,0,0.3477413632848241,20,0.4,105.5,246.88235292665397,0.6071428571211734,5041.0,0.2010960209673097,-0.6547767045997896,0.0,0.0,0.0,1,rw_rank_bfs,rw_rank_bfs,d_round,61,129
tree,0,59,2,1,1255.0103047129642,3051.0,56.0,14.0,25.0,7982.0,4297,3685.0,0.0429844097995545,0.1661009278117221,10,52,13.56247525215149,31,0.064516129032258,7.0,24.999999975,0.999999999,39.0,0.5599999999776,0.2366835612508367,0.0429844097995545,0.1661009278117221,0.4347826086767485,0,rw_rank_bfs,rw_rank_bfs,mip,27,164
fat_tree,0,171,7,11,1033.784555245744,1714.0,1496.0,748.0,2811.0,17304.0,2649,14655.0,0.0,0.0,0,0,0.0094396060075217,20,0.35,106.85714285714286,255.5454545222231,0.5238095237845805,3559.0,0.2660974742083721,-0.6547767045997896,0.0,0.0,0.0,1,rw_rank_bfs,rw_rank_bfs,pl_rank,61,132
fat_tree,0,98,8,12,25.15022660618941,996.0,1732.0,866.0,3058.0,17304.0,2649,14655.0,0.0,0.0,0,0,0.0094396060075217,20,0.4,108.25,254.8333333120972,0.4285714285561224,3924.0,0.2831916285152769,-0.6547767045997896,0.0,0.0,0.0,1,rw_rank_bfs,rw_rank_bfs,pl_rank,62,138
fat_tree,0,292,5,7,80.64590716764503,2879.0,956.0,478.0,1954.0,17304.0,2649,14655.0,0.0,0.0,0,0,0.0022804880620643,20,0.25,95.6,279.1428571029796,0.69999999993,2432.0,0.2446264073693732,-0.6547767045997896,0.0,0.0,0.0,1,rw_rank_bfs,rw_rank_bfs,rw_rank_bfs,70,117
fat_tree,0,215,6,9,280.1419919445577,2149.0,984.0,492.0,2233.0,17304.0,2649,14655.0,0.0,0.0,0,0,0.0094396060075217,20,0.3,82.0,248.1111110835432,0.59999999996,2725.0,0.2203313927450871,-0.6547767045997896,0.0,0.0,0.0,1,rw_rank_bfs,rw_rank_bfs,pl_rank,48,142
fat_tree,0,61,6,7,469.5589550530273,606.0,1330.0,665.0,1935.0,17304.0,2649,14655.0,0.0,0.0,0,0,0.0094396060075217,20,0.3,110.83333333333331,276.42857138908164,0.4666666666355555,2600.0,0.3436692506458172,-0.6547767045997896,0.0,0.0,0.0,1,rw_rank_bfs,rw_rank_bfs,pl_rank,62,138
tree,0,106,4,3,427.49376394757945,5400.0,414.0,46.0,29.0,8368.0,4329,4039.0,0.0358574610244989,0.0859923059515727,7,60,13.56247525215149,31,0.1290322580645161,11.5,9.666666663444444,0.4999999999166666,75.0,1.5862068964970273,0.1997704886678779,0.0358574610244989,0.0859923059515727,0.304347826073724,0,rw_rank_bfs,rw_rank_bfs,mip,34,147
fat_tree,0,47,5,6,552.4976755453773,454.0,978.0,489.0,1668.0,17304.0,2649,14655.0,0.0,0.0,0,0,2.3678341823465683,20,0.25,97.8,277.99999995366665,0.59999999994,2157.0,0.2931654676257235,-0.6547767045997896,0.0,0.0,0.0,1,rw_rank_bfs,rw_rank_bfs,ga_meta,59,141
fat_tree,0,32,7,13,1025.8724883723823,316.0,1476.0,738.0,3270.0,17304.0,2649,14655.0,0.0,0.0,0,0,13.56247525215149,20,0.35,105.42857142857144,251.5384615191124,0.6190476190181405,4008.0,0.2256880733944264,-0.6547767045997896,0.0,0.0,0.0,1,rw_rank_bfs,rw_rank_bfs,mip,62,138
tree,0,117,4,3,299.71361990638303,5955.0,320.0,32.0,42.0,7500.0,4206,3294.0,0.0632516703786191,0.2545824847250509,9,61,0.0022804880620643,31,0.1290322580645161,8.0,13.999999995333331,0.4999999999166666,74.0,0.7619047618866214,0.2827770871186764,0.0632516703786191,0.2545824847250509,0.3913043478090737,0,rw_rank_bfs,rw_rank_bfs,rw_rank_bfs,29,148
fat_tree,0,267,6,6,1301.9095728357777,2668.0,1292.0,646.0,1186.0,17304.0,2649,14655.0,0.0,0.0,0,0,0.0022804880620643,20,0.3,107.66666666666669,197.66666663372223,0.3999999999733333,1832.0,0.544688026980991,-0.6547767045997896,0.0,0.0,0.0,1,rw_rank_bfs,rw_rank_bfs,rw_rank_bfs,65,123
tree,0,27,2,1,153.88767020064228,1402.0,57.0,19.0,12.0,8200.0,4369,3831.0,0.0269487750556792,0.1330617786829599,7,35,13.56247525215149,31,0.064516129032258,9.5,11.999999988,0.999999999,31.0,1.5833333332013888,0.2158362819164195,0.0269487750556792,0.1330617786829599,0.304347826073724,0,rw_rank_bfs,rw_rank_bfs,mip,26,165
fat_tree,0,200,6,10,484.11910254347055,1993.0,1252.0,626.0,2658.0,17304.0,2649,14655.0,0.0,0.0,0,0,0.2113275527954101,20,0.3,104.33333333333331,265.79999997342,0.6666666666222222,3284.0,0.2355154251315893,-0.6547767045997896,0.0,0.0,0.0,1,rw_rank_bfs,rw_rank_bfs,sa_meta,58,132
fat_tree,0,134,7,7,251.0583867326255,1378.0,1466.0,733.0,1810.0,17304.0,2649,14655.0,0.0,0.0,0,0,0.0022804880620643,20,0.35,104.71428571428572,258.57142853448977,0.3333333333174603,2543.0,0.404972375690384,-0.6547767045997896,0.0,0.0,0.0,1,rw_rank_bfs,rw_rank_bfs,rw_rank_bfs,73,126
fat_tree,0,27,5,6,556.7161537804143,263.0,840.0,420.0,1287.0,17304.0,2649,14655.0,0.0,0.0,0,0,13.56247525215149,20,0.25,84.0,214.49999996425,0.59999999994,1707.0,0.3263403263400727,-0.6547767045997896,0.0,0.0,0.0,1,rw_rank_bfs,rw_rank_bfs,mip,68,132
tree,0,224,4,3,15.435671937111186,11332.0,392.0,28.0,23.0,8035.0,4252,3783.0,0.0530066815144766,0.1439239646978954,10,63,0.0022804880620643,31,0.1290322580645161,7.0,7.666666664111111,0.4999999999166666,51.0,1.217391304294896,0.2316151859998088,0.0530066815144766,0.1439239646978954,0.4347826086767485,0,rw_rank_bfs,rw_rank_bfs,rw_rank_bfs,26,146
tree,0,205,3,2,211.7871431666617,10443.0,63.0,21.0,42.0,7934.0,4247,3687.0,0.054120267260579,0.1656483367277664,10,63,0.0022804880620643,31,0.0967741935483871,7.0,20.9999999895,0.6666666664444444,63.0,0.4999999999880953,0.2412737878932772,0.054120267260579,0.1656483367277664,0.4347826086767485,0,rw_rank_bfs,rw_rank_bfs,rw_rank_bfs,24,148
fat_tree,0,230,6,11,45.24588361144339,2311.0,1080.0,540.0,3104.0,17304.0,2649,14655.0,0.0,0.0,0,0,0.0022804880620643,20,0.3,90.0,282.18181815616526,0.7333333332844444,3644.0,0.1739690721648924,-0.6547767045997896,0.0,0.0,0.0,1,rw_rank_bfs,rw_rank_bfs,rw_rank_bfs,60,129
tree,0,189,4,5,386.57225327571194,9624.0,78.0,39.0,83.0,8238.0,4368,3870.0,0.0271714922048997,0.1242362525458248,6,63,0.0022804880620643,31,0.1290322580645161,9.75,16.59999999668,0.8333333331944445,122.0,0.4698795180666279,0.2122023524911542,0.0271714922048997,0.1242362525458248,0.2608695652060491,0,rw_rank_bfs,rw_rank_bfs,rw_rank_bfs,22,150
fat_tree,0,260,7,12,375.9125499814566,2600.0,1462.0,731.0,3170.0,17304.0,2649,14655.0,0.0,0.0,0,0,0.3477413632848241,20,0.35,104.42857142857144,264.16666664465276,0.5714285714013605,3901.0,0.2305993690851007,-0.6547767045997896,0.0,0.0,0.0,1,rw_rank_bfs,rw_rank_bfs,d_round,48,141
